customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MonthlyCharges,TotalCharges,Churn
1,Female,0,No,No,20,Yes,80.29,1750.56,0
2,Female,1,No,Yes,35,Yes,90.91,3232.61,0
3,Male,1,Yes,Yes,13,Yes,23.46,268.21,0
4,Male,0,No,No,23,Yes,91.34,2165.04,0
5,Female,0,No,Yes,45,Yes,65.55,3030.06,0
6,Female,0,Yes,No,53,Yes,31.85,1653.22,0
7,Female,0,No,Yes,41,Yes,104.65,4372.21,0
8,Female,0,No,No,56,Yes,54.82,3208.49,0
9,Female,0,Yes,Yes,42,Yes,35.01,1491.84,0
10,Male,0,Yes,No,20,Yes,24.74,464.62,0
11,Male,1,No,No,61,Yes,113.62,7051.14,0
12,Female,0,No,Yes,44,Yes,102.27,4596.83,0
13,Male,0,No,No,46,Yes,58.16,2750.42,0
14,Female,0,No,No,40,Yes,65.88,2672.05,0
15,Female,0,No,Yes,5,Yes,62.24,340.17,0
16,Male,1,Yes,No,22,Yes,85.18,1932.56,0
17,Male,0,No,No,1,Yes,48.87,28.34,0
18,Female,1,No,No,30,Yes,39.47,1252.28,0
19,Male,0,Yes,No,6,Yes,50.75,303.55,0
20,Male,0,No,No,64,Yes,82.63,5324.27,0
21,Male,0,Yes,No,0,Yes,78.32,-4.2,0
22,Female,0,No,Yes,63,Yes,51.29,3350.22,0
23,Male,0,Yes,Yes,70,Yes,83.75,5986.67,0
24,Male,0,Yes,Yes,8,Yes,58.46,489.09,0
25,Female,0,No,No,6,Yes,29.15,279.39,0
26,Male,0,No,No,14,Yes,110.39,1689.2,0
27,Male,0,Yes,No,6,Yes,58.91,412.13,0
28,Male,0,Yes,Yes,62,Yes,102.0,6361.98,0
29,Female,0,No,Yes,26,Yes,23.25,671.86,0
30,Male,0,Yes,No,49,Yes,99.56,5038.67,0
31,Male,0,Yes,Yes,0,Yes,95.9,69.61,1
32,Male,0,Yes,Yes,52,Yes,90.76,4838.43,0
33,Female,0,No,Yes,32,Yes,86.91,2882.7,0
34,Female,0,No,Yes,61,Yes,43.91,2704.74,0
35,Female,0,No,Yes,66,Yes,30.95,2111.64,0
36,Female,0,Yes,Yes,62,Yes,88.79,5624.18,0
37,Female,0,Yes,Yes,46,No,105.58,4914.99,0
38,Male,0,Yes,Yes,51,Yes,99.77,5246.04,0
39,Male,0,No,No,37,Yes,39.86,1469.68,0
40,Male,1,No,No,30,Yes,27.04,854.38,0
41,Female,0,Yes,Yes,16,No,24.5,388.99,0
42,Female,0,Yes,Yes,34,Yes,32.4,1133.22,0
43,Female,0,Yes,No,59,Yes,73.1,4443.83,0
44,Female,0,Yes,No,12,No,98.66,1324.86,0
45,Female,0,No,Yes,6,Yes,61.15,460.93,0
46,Female,0,Yes,Yes,47,Yes,28.84,1362.01,0
47,Male,0,No,No,64,Yes,103.04,6758.93,0
48,Female,0,No,No,3,Yes,23.8,51.09,0
49,Female,0,No,No,22,Yes,28.99,732.34,0
50,Male,0,Yes,No,35,Yes,107.74,3937.8,0
51,Male,0,Yes,Yes,4,Yes,25.08,77.74,0
52,Female,1,No,No,22,Yes,92.24,2032.78,0
53,Male,0,No,Yes,31,Yes,91.49,2976.3,0
